date_bs,date_ad,day,metal,source_category,price_per_10g_source,price_per_tola_source,price_per_gram_calculated,price_per_kg_calculated,source_type,source_document_id,source_url,verification_status
2081/11/23,2025-03-07,Friday,gold,Gold,145920.0,170200.0,14592.0,14592000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/23,2025-03-07,Friday,silver,Silver,1706.0,1990.0,170.6,170600.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/22,2025-03-06,Thursday,gold,Gold,146350.0,170700.0,14635.0,14635000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/22,2025-03-06,Thursday,silver,Silver,1702.0,1985.0,170.2,170200.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/21,2025-03-05,Wednesday,gold,Gold,146090.0,170400.0,14609.0,14609000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/21,2025-03-05,Wednesday,silver,Silver,1672.0,1950.0,167.2,167200.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/20,2025-03-04,Tuesday,gold,Gold,145320.0,169500.0,14532.0,14532000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/20,2025-03-04,Tuesday,silver,Silver,1663.5,1940.0,166.35,166350.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/19,2025-03-03,Monday,gold,Gold,144120.0,168100.0,14412.0,14412000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/19,2025-03-03,Monday,silver,Silver,1642.0,1915.0,164.2,164200.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/18,2025-03-02,Sunday,gold,Gold,144120.0,168100.0,14412.0,14412000.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/11/18,2025-03-02,Sunday,silver,Silver,1642.0,1915.0,164.2,164200.0,official_weekly_pdf,FEN-WEEKLY-2081-11-23,https://www.fenegosida.org/uploads/weekly/250307092202jj587f.pdf,verified
2081/02/25,2024-06-07,Friday,gold,Gold,124315.0,145000.0,12431.5,12431500.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/25,2024-06-07,Friday,silver,Silver,1629.0,1900.0,162.9,162900.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/24,2024-06-06,Thursday,gold,Gold,123455.0,144000.0,12345.5,12345500.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/24,2024-06-06,Thursday,silver,Silver,1586.0,1850.0,158.6,158600.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/23,2024-06-05,Wednesday,gold,Gold,121915.0,142200.0,12191.5,12191500.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/23,2024-06-05,Wednesday,silver,Silver,1565.0,1825.0,156.5,156500.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/22,2024-06-04,Tuesday,gold,Gold,122345.0,142700.0,12234.5,12234500.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/22,2024-06-04,Tuesday,silver,Silver,1595.0,1860.0,159.5,159500.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/21,2024-06-03,Monday,gold,Gold,120885.0,141000.0,12088.5,12088500.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/21,2024-06-03,Monday,silver,Silver,1573.0,1835.0,157.3,157300.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/20,2024-06-02,Sunday,gold,Gold,121745.0,142000.0,12174.5,12174500.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
2081/02/20,2024-06-02,Sunday,silver,Silver,1586.0,1850.0,158.6,158600.0,official_weekly_pdf,FEN-WEEKLY-2081-02-25,https://www.fenegosida.org/uploads/weekly/240607055120g6k5q8.pdf,verified
