Keyword;Position;Previous position;Search Volume;Keyword Difficulty;CPC;URL;Traffic;Traffic (%);Traffic Cost;Competition;Number of Results;Trends;Timestamp;SERP Features by Keyword;Keyword Intents;Position Type
time;15;15;27100;91;0.20;https://www.calculator.net/time-calculator.html;81;0.09;16.00;0.33;19900000000;[82,100,100,100,100,100,100,82,67,100,100,82];2026-04-17;Image pack, Video, Image, Video Carousel, Related searches;informational;Organic
currency converter;15;15;18100;85;0.24;https://www.calculator.net/currency-calculator.html;72;0.08;17.00;0.33;358000000;[37,100,37,67,30,30,30,24,30,30,45,55];2026-04-18;Instant answer, Video, Related searches;informational;Organic
new year's day 2023;14;14;18100;36;0.34;https://www.calculator.net/date-calculator.html;54;0.06;18.00;0;8120000000;[0,0,0,0,0,0,0,0,0,0,55,100];2026-04-17;Video, Image, People also ask, Related searches, AI overview;informational;Organic
1 dollars in nepali rupees;19;19;27100;46;0.52;https://www.calculator.net/currency-calculator.html;40;0.04;20.00;0.33;527000;[67,82,82,82,67,82,82,82,82,82,82,100];2026-04-18;Instant answer, Video, People also ask, Related searches;informational;Organic
calc;11;11;3600;87;0.00;https://www.calculator.net/scientific-calculator.html;32;0.03;0.00;0;153;[81,100,81,100,100,100,100,100,100,81,81,81];2026-03-16;Instant answer, Video, Related searches;informational;Organic
compound interest calculator;14;14;5400;71;0.20;https://www.calculator.net/compound-interest-calculator.html;27;0.03;5.00;0.01;192000000;[82,82,82,82,82,82,67,100,82,44,55,55];2026-03-18;Video, Related searches;informational;Organic
online calculator;12;12;1900;87;0.00;https://www.calculator.net/scientific-calculator.html;17;0.02;0.00;0;125;[100,100,79,100,79,79,100,100,79,79,67,79];2026-03-15;Instant answer, Video;informational;Organic
number;17;17;9900;80;0.00;https://www.calculator.net/random-number-generator.html;14;0.01;0.00;0.33;74;[45,67,45,100,82,67,67,55,45,55,55,55];2026-04-16;Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
900 euro in nepali rupees;14;14;1900;24;0.00;https://www.calculator.net/currency-calculator.html;9;0.01;0.00;0;121;[66,55,55,66,66,66,100,83,66,55,55,83];2026-03-08;Instant answer, Related searches;informational;Organic
password generator;13;13;1300;73;0.13;https://www.calculator.net/password-generator.html;9;0.01;1.00;0.01;1230000000;[100,100,81,100,100,81,81,81,81,62,55,62];2026-03-21;Video, Related searches;informational;Organic
