Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
time calculator,11,11,550000,71,1.30,https://www.calculator.net/hours-calculator.html,7150,0.04,9295.00,0,854000000,"[100,81,100,100,100,66,54,81,81,81,44,66]",2026-04-17,"Video, Related searches","informational, transactional",Organic
concrete calculator,14,14,368000,32,1.36,https://www.calculator.net/concrete-calculator-for-your-site.html,1840,0.01,2502.00,0.02,97000000,"[54,54,81,100,100,81,81,100,81,81,54,44]",2026-04-15,"Video, Related searches",informational,Organic
date today,11,11,135000,62,0.53,https://www.calculator.net/date-calculator.html,1755,0.01,930.00,0.01,7170000000,"[54,54,67,82,82,45,54,67,67,100,54,54]",2026-04-15,"Sitelinks, Video, Related searches",informational,Organic
28 days from today,12,12,110000,16,0.00,https://www.calculator.net/date-calculator.html,990,0,0.00,0,4110000000,"[81,81,100,81,100,81,81,100,81,81,81,81]",2026-04-16,"Video, Related searches",informational,Organic
percentage calculator,18,18,450000,95,3.19,https://www.calculator.net/discount-calculator.html,675,0,2153.00,0,588000000,"[81,81,81,81,66,66,54,54,66,66,44,81]",2026-04-19,"Instant answer, Video, People also ask, Related searches",informational,Organic
cd rates,16,16,165000,68,2.97,https://www.calculator.net/cd-calculator.html,495,0,1470.00,0.79,593000000,"[66,54,100,54,54,54,54,54,54,36,30,36]",2026-04-16,"Video, Related searches, AI overview","commercial, informational",Organic
roth ira,11,11,301000,72,3.20,https://www.calculator.net/roth-ira-calculator.html,451,0,1443.00,0.65,87600000,"[54,44,44,44,36,36,44,44,44,44,44,44]",2026-04-17,"Video, Ads bottom, Video Carousel, Related searches, Things to know, AI overview",informational,Organic
average calculator,14,14,74000,57,0.00,https://www.calculator.net/grade-calculator.html,370,0,0.00,0,604000000,"[82,82,100,82,82,45,30,36,55,82,55,55]",2026-04-15,"Video, Related searches",transactional,Organic
today date,12,12,90500,70,0.66,https://www.calculator.net/date-calculator.html,362,0,238.00,0.01,97,"[54,30,81,67,81,67,81,54,81,100,100,54]",2026-04-18,"Sitelinks, Video, People also ask, Related searches",informational,Organic
free dice,11,11,27100,31,4.25,https://www.calculator.net/dice-roller.html,352,0,1496.00,0,323000000,"[54,66,54,66,54,66,66,36,44,44,54,54]",2026-04-16,"Video, Image, Related searches",informational,Organic
